 ,Label,Area,Mean,Min,Max
1,Experiment_0001.nd2 - C=2-1:Cell_01,93.691,109.370,0,255
2,Experiment_0001.nd2 - C=2-1:Cell_02,126.246,106.516,0,255
3,Experiment_0001.nd2 - C=2-1:Cell_03,99.300,96.667,0,255
4,Experiment_0001.nd2 - C=2-1:Cell_04,122.790,99.276,0,255
5,Experiment_0001.nd2 - C=2-1:Cell_01_1,2.525,119.107,0,255
6,Experiment_0001.nd2 - C=2-1:Cell_01_2,3.974,92.953,14,193
7,Experiment_0001.nd2 - C=2-1:Cell_01_3,2.318,147.696,29,255
8,Experiment_0001.nd2 - C=2-1:Cell_01_4,2.815,70.926,13,172
9,Experiment_0001.nd2 - C=2-1:Cell_01_5,3.663,66.859,11,139
10,Experiment_0001.nd2 - C=2-1:Cell_02_1,2.815,96.596,38,192
11,Experiment_0001.nd2 - C=2-1:Cell_02_2,3.063,50.912,0,160
12,Experiment_0001.nd2 - C=2-1:Cell_02_3,2.028,98.235,28,178
13,Experiment_0001.nd2 - C=2-1:Cell_02_4,2.815,28.338,0,101
14,Experiment_0001.nd2 - C=2-1:Cell_03_1,7.119,124.070,61,255
15,Experiment_0001.nd2 - C=2-1:Cell_03_2,2.111,91.578,46,142
16,Experiment_0001.nd2 - C=2-1:Cell_03_3,2.980,87.854,24,157
17,Experiment_0001.nd2 - C=2-1:Cell_03_4,0.704,54.647,19,97
18,Experiment_0001.nd2 - C=2-1:Cell_03_5,1.200,28.103,1,54
19,Experiment_0001.nd2 - C=2-1:Cell_04_1,1.656,75.350,0,183
20,Experiment_0001.nd2 - C=2-1:Cell_04_2,1.428,70.319,18,112
21,Experiment_0001.nd2 - C=2-1:Cell_04_3,2.980,115.764,41,168
